Subject,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumb Image,Template Title,Template Summary,New Test Text,Tags,Brand,Category,Set Date,Sender,Meta Title,Meta Description
Action Required: There's an issue with your recent Loom payment,payment-declined-from-loom-0104202,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689c52e5a4fe87471d0df1d4,false,false,Wed Aug 13 2025 08:55:01 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 10:44:03 GMT+0000 (Coordinated Universal Time),Mon Jan 19 2026 14:20:32 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/69677064cde9139e30fb8c21_689c52e5a4fe87471d0df1af_c069ac39-50ba-415a-b044-f2688019fe9e.png,Loom email 37,"This email functions as a payment failure notification from Loom, informing the recipient that their recent payment attempt for the Digistorms plan was declined. The structure is straightforward, starting with a clear statement of the issue, followed by a call to action with a link to update payment information, and a warning about the downgrade consequences if payment is not completed. The tone is professional and polite, aiming to prompt immediate user response while maintaining a helpful stance by offering a contact option for questions.",,payment-declined; follow-up,loom,win-back-churned-user,Sat Jan 04 2025 16:17:00 GMT+0000 (Coordinated Universal Time),Loom,Payment Declined from Loom | Win Back Churned User,"Loom payment issue for Digistorms. Update your card to keep Loom Business benefits like unlimited videos, recording length, and insights."
Action required - please update your payment details,payment-declined-from-canva-01142024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689392b0982135eb93dd04d1,false,false,Wed Aug 06 2025 17:36:48 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 14:21:30 GMT+0000 (Coordinated Universal Time),Mon Jan 19 2026 14:20:32 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689392b0982135eb93dd04cc_64d2ca5b-0624-4b21-8f57-7592f3fcc6cd.png,Canva email 2,"This email is a payment failure notification from Canva addressed to a user with a Canva Pro subscription. It clearly informs the recipient that their recent payment could not be processed due to card issues, advises them to update their payment method, and warns about subscription cancellation if payment is not made by a specific date. The email is structured with a direct, urgent tone, includes clear calls to action with links to update payment details and find payment-related support, and reassures the user that it is a transactional, non-promotional message.",,payment-declined,canva,transactional-email,Sun Jan 14 2024 15:14:00 GMT+0000 (Coordinated Universal Time),Canva,Payment Declined from Canva | Transactional Emails,Canva informs users of a failed payment due to card issues and urges them to update payment details to avoid subscription cancellation by 30/01/2024.
Action required: Finish setting up your account,setup-prompt-from-grammarly-08062025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f0d8f548532415f0cf0e6,false,false,Fri Aug 15 2025 10:35:59 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:18:52 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f0d8f548532415f0cf0e1_a4b4eacb-08a8-493d-9d39-31350893a690.png,Grammarly email 2,"This email serves as an onboarding welcome guide for new Grammarly users, aimed at helping them get started quickly with the service. It is structured with a clear, step-by-step layout that instructs users to log in, download necessary apps, and install Grammarly. The tone is friendly, encouraging, and instructional, designed to facilitate user activation and highlight the benefits of upgrading to Grammarly Pro for enhanced writing assistance.",,setup-prompt; product-education; feature-usage-nudge; onboarding-checklist,grammarly,onboard-free-user,Wed Aug 06 2025 17:12:00 GMT+0000 (Coordinated Universal Time),Grammarly,Setup Prompt from Grammarly | Onboard Free User,"Welcome to Grammarly! This email guides new users through signing in, downloading the desktop app & browser extension, and installing Grammarly for better, mistake-free writing."
Action required: Your payment is past due,payment-declined-from-webflow-action-12172023,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b169331ccd5cbbcb2b5431,false,false,Fri Aug 29 2025 08:47:47 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:12:46 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b169321ccd5cbbcb2b540d_e6295726-174e-42e9-90ad-5a1563967a47.png,Webflow email 12,"This email functions as a payment update reminder from Webflow, alerting the user that their Mastercard payment for Basic Hosting could not be processed. The structure includes a greeting, explanation of the issue, a clear call-to-action link to update payment information, and a warning about account access consequences if the update is not completed within 28 days. The tone is professional and urgent, aimed at prompting immediate user action to prevent service disruption.",,payment-declined,webflow,win-back-churned-user,Sun Dec 17 2023 15:35:00 GMT+0000 (Coordinated Universal Time),Webflow,Payment Declined from Webflow | Win Back Churned User 2,Webflow alerts Jonathan of a failed charge on his Mastercard for Basic Hosting and urges updating payment info to avoid service disruption.
Activate your Ahrefs account,email-verification-from-ahrefs-01082025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f44b0f46e019e3df96a96,false,false,Fri Aug 15 2025 14:31:12 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:18:03 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f44b0f46e019e3df96a8a_8478a3d8-09b5-4920-b80b-42d6f7da7784.png,Ahrefs email 01,"This is an account activation email from Ahrefs addressed to a company, Digi Storms LTD. The email has a simple, directive structure with a clear call-to-action button prompting the user to confirm their email address to activate their account. The tone is welcoming and supportive, including a contact option for assistance and legal footer links for terms and privacy policy.",,email-verification,ahrefs,onboard-free-user,Wed Jan 08 2025 16:51:00 GMT+0000 (Coordinated Universal Time),Ahrefs Support,Email Verification from Ahrefs | Onboard Free User,"Activate your Ahrefs account by confirming your email address. Get started quickly with Ahrefs, the trusted SEO tool for Digi Storms LTD."
Activate your Mailchimp account,email-verification-from-mailchimp-07122023,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68bb376a70154f6404bc6c35,false,false,Fri Sep 05 2025 19:18:02 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:15:42 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68bb376a70154f6404bc6bf8_b0595033-2a45-4712-9c19-9745542d7c88.png,Mailchimp email 2,,"<p id="""">This email is a straightforward account activation message from Mailchimp, aimed at confirming the user's email and encouraging them to activate their account with a clear call-to-action button. The structure is minimalistic, featuring the Mailchimp logo, a personalized greeting with the user's email, a prominent activation link, and standard footer information including contact details and legal links. </p><p>‍</p><p id="""">The tone is welcoming and professional, designed to facilitate user onboarding quickly and efficiently.</p><p>‍</p>",email-verification; trial-just-started,mailchimp,onboard-free-user,Thu Dec 07 2023 15:49:00 GMT+0000 (Coordinated Universal Time),Mailchimp Client Services,Email Verification from MailChimp | Onboard Free User,Activate your Mailchimp account easily with a secure link. Start creating powerful email campaigns today. Mailchimp welcomes you to get started!
Activate your PhantomBuster account.,phantom-busters--activate-your-phantombuster-account-from-phantom-busters-activate-your-phantombuster-account-02172025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,686ff7551e525b5128258284,false,false,Thu Jul 10 2025 17:24:37 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 13:30:42 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/684aa3d6e23a9fbc2aee4739_20261297-e519-4ae1-80d2-ac343df1acb7.png,from Phantom Busters,"This email functions as an account verification message sent to new users who have created an account on PhantomBuster. It features a straightforward structure with a greeting, a clear call-to-action button for verifying the email, and concise instructions about link expiration and support options. The tone is polite and helpful, aiming to reassure the user and provide easy access to assistance if needed.",,email-verification; trial-just-started,phantom-busters,transactional-email,Mon Feb 17 2025 17:07:00 GMT+0000 (Coordinated Universal Time),PhantomBuster,from PhantomBuster 3,Verify your PhantomBuster account email within 72 hours to secure access. Contact support@phantombuster.com for help.
Add cinematic effects to your Presentations,canva-add-cinematic-effects-to-your-presentations-from-canva-08052025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68939c3a1e467653cff2502a,false,false,Wed Aug 06 2025 18:17:30 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:14:16 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 15:25:39 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68939c391e467653cff25014_ba5f97d9-ecde-44f6-8cb0-1c0bb52910b8.png,from Canva,"This marketing email from Canva promotes the use of cinematic effects in design projects, particularly presentations. It features a visually appealing layout with images, call-to-action buttons, and links to learn more and download the Canva app across various platforms. The tone is enthusiastic and inviting, encouraging users to enhance their creativity with Canva's multimedia features while providing easy access to the app and support resources.",,feature-usage-nudge; product-education,canva,educate-engage,Tue Aug 05 2025 09:28:00 GMT+0000 (Coordinated Universal Time),Canva,from Canva 3,"Enhance your presentations with cinematic effects using Canva's library of video content, animations, and transitions. Start designing today!"
Add color with Illustrator,feature-usage-nudge-from-adobe-12172024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b17d1ac42128b91147fbe7,false,false,Fri Aug 29 2025 10:12:42 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:35:47 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b17d1ac42128b91147fbdc_cffe8627-d866-4745-ad5d-31be829701cc.png,Adobe email 07,"This Adobe marketing email is structured to educate users on how to add color to objects in Adobe Illustrator. It uses a clear, informative tone with a combination of instructional text, linked images, and multiple call-to-action buttons directing users to tutorials and features like Generative Recolor powered by Adobe Firefly. The layout highlights key features visually and encourages engagement with the product's coloring tools while integrating brand-reinforcing elements such as logos and social media links.",,feature-usage-nudge; product-education,adobe,onboard-paid-user,Tue Dec 17 2024 12:24:00 GMT+0000 (Coordinated Universal Time),Adobe Illustrator,Feature Usage Nudge from Adobe | Onboard Paid User 4,"Learn how to add color to your artwork in Adobe Illustrator. Fill objects, apply strokes, and create custom color libraries. Powered by Adobe Firefly."
Add magic to your files,join-community-from-figma-12292023,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,686e6fbb72c4d69d0576afb1,false,false,Wed Jul 09 2025 13:33:47 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 14:07:48 GMT+0000 (Coordinated Universal Time),Mon Jan 19 2026 14:20:32 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686e6fbb72c4d69d0576afac_3fb2364c-4990-404e-87ed-941fad6398c9.png,Figma email 03,"This email promotes the Figma Community platform by highlighting its resources such as templates, widgets, and plugins that enhance design workflows. It uses a structured layout with multiple sections presenting different offerings, supported by visual icons and clear call-to-action links. The tone is informational and encouraging, aimed at motivating users to explore and utilize community-shared assets to improve teamwork and design efficiency.",,join-community; usage-expansion,figma,onboard-free-user,Fri Dec 29 2023 11:34:00 GMT+0000 (Coordinated Universal Time),Figma,Join Community from Figma | Onboard Free User,"Discover thousands of free templates, plugins, widgets, and design resources in Figma Community to enhance your team's product design workflows."
Add text to your logo in Illustrator,feature-usage-nudge-from-adobe-12252024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b17e18e76336e0a3aa0259,false,false,Fri Aug 29 2025 10:16:56 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:16:45 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b17e18e76336e0a3aa0233_3f148725-0b84-48a7-8136-d8bcd8fe28fd.png,Adobe email 12,,"<p>This email from Adobe promotes a tutorial on selecting and customizing fonts in Adobe Illustrator for logo design. The structure includes an introductory statement, branded imagery with logos, a clear call-to-action link to get started with the tutorial, and social media icons for engagement. </p><p>‍</p><p>The tone is professional and instructional, aiming to inspire creative use of Illustrator for branding while providing easy access to resources and company contact information.</p>",feature-usage-nudge; product-education,adobe,educate-engage,Wed Dec 25 2024 11:32:00 GMT+0000 (Coordinated Universal Time),Adobe Illustrator,Feature Usage Nudge from Adobe | Educate & Engage,Learn how to choose and tweak fonts to fit all logo versions in Adobe Illustrator. Get hands-on tips for print and web design with Adobe.
Adobe wants to hear from you!,survey-from-adobe-01122025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b17ee77d7b74411b100923,false,false,Fri Aug 29 2025 10:20:23 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:16:46 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b17ee77d7b74411b10091e_4db4df90-60a2-47d0-968b-17957166b531.png,Adobe email 16,,"<p id="""">This email is a customer feedback survey invitation from Adobe, targeting recent subscribers to gather their opinions about their subscription experience. It features a polite and professional tone, offers incentives in the form of Amazon gift card prizes, and includes thorough legal and trademark disclaimers.</p><p>‍</p><p id="""">The structure is straightforward with the Adobe logo at the top, a call-to-action button for starting the survey, prize details, and unsubscribe and contact information at the bottom.</p><p>‍</p>",survey,adobe,request-feedback,Sun Jan 12 2025 10:22:00 GMT+0000 (Coordinated Universal Time),Adobe Customer Research,Survey from Adobe | Request Feedback,Adobe invites recent subscribers to participate in a customer feedback survey. Enter for a chance to win Amazon gift cards. Join Adobe research today.
"Agency networking, Figma to Webflow, and custom CSS properties 🛠️",newsletter-from-webflow-02282024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b16cca4aeaac4931c81fab,false,false,Fri Aug 29 2025 09:03:06 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 17:16:27 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 18:37:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/693b0a2bfa99879683da51a0_692dab463752544a257f46b3_buffer%2520feature%2520usage%2520nudge.png,Webflow email 22,"This email from Webflow serves as a comprehensive newsletter highlighting new feature updates, design tips, agency networking advice, and community showcases. It is structured into clear sections including announcements like the Design System Sync for Figma integration, curated free resources, featured community-built websites, educational resources, and invitations to webinars and calls. The tone is professional yet friendly, targeting designers and agency professionals by combining technical details with inspiring content and practical advice.",,newsletter; content-engagement,webflow,educate-engage,Wed Feb 28 2024 19:03:00 GMT+0000 (Coordinated Universal Time),Max at Webflow,Newsletter from Webflow | Educate & Engage 3,"Discover Webflow's latest in design and no-code innovation, including new Design System Sync for seamless Figma integration, agency tips, free resources, and inspiring projects."
Agent early access + 20% pro discount,product-update-from-lovable-07132025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f6d331f543ae801d94f99,false,false,Fri Aug 15 2025 17:24:03 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:18:04 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f6d331f543ae801d94f86_05f1250e-1cc3-447e-890e-74f5493b1491.png,Lovable email 05,"This is a product update and promotional email from a SaaS platform named Lovable. It uses a friendly and enthusiastic tone to inform users about new features such as Agent Mode and built-in Analytics, provides an exclusive early access invitation, and offers a limited-time 20% discount with a discount code. The email is clearly structured with numbered points highlighting the main updates, a direct call-to-action with multiple links for upgrading, and promotional urgency created by a time-limited offer.",,product-update; special-offer; feature-usage-nudge,lovable,announce-new-features,Sun Jul 13 2025 14:32:00 GMT+0000 (Coordinated Universal Time),Lovable,Product Update from Lovable | Announce New Features,Discover Lovable's new Agent Mode and built-in Analytics. Enjoy a 20% discount for 3 days. Upgrade now to build better with Lovable.
Ahrefs Evolve hits the U.S! Grab 1 of first 50 tickets,irl-event-from-ahrefs-06172025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f48864302fa227919ef99,false,false,Fri Aug 15 2025 14:47:34 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 15:21:57 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f48854302fa227919ef46_e3f38574-5f95-4a77-94f7-d9e1125abcd1.png,Ahrefs email 22,"This is a promotional email for the Ahrefs Evolve 2025 conference, targeting SEO and marketing professionals interested in actionable strategies and future-proof tactics. Structurally, the email uses bold headers, images, and calls to action to highlight the event details, speakers, ticket pricing tiers, and urgency with limited Super Early Bird tickets. Its tone is professional and enthusiastic, aiming to excite and persuade recipients to buy tickets and attend the event.",,irl-event,ahrefs,educate-engage,Tue Jun 17 2025 15:19:00 GMT+0000 (Coordinated Universal Time),Shermin from Ahrefs,IRL Event from Ahrefs | Educate & Engage 4,"Join Ahrefs Evolve 2025 in San Diego for 600+ marketers sharing actionable SEO strategies, future-proof tactics, and exclusive insights on Oct 14-15. Get early bird tickets!"
Aligning cross-functional teams,newsletter-from-monday-aligning-crossfunctional-teams06102025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,6879098c8fd77f2e4b9f3682,false,false,Thu Jul 17 2025 14:32:44 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 13:34:54 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/6879098c8fd77f2e4b9f3650_941a0202-9ca7-4434-a532-c9618465b261.png,Monday email 14,"This is a comprehensive weekly newsletter from monday.com, structured to cover current workplace trends, AI developments, cross-functional team alignment strategies, and lighter content such as humor and trivia. The tone is professional yet approachable, blending data-driven insights with practical management advice and cultural commentary. It uses sections with clear headers and embedded links to podcasts, studies, and external articles, aiming to educate and engage professionals interested in workplace productivity and innovation.",,newsletter; content-engagement,monday,educate-engage,Tue Jun 10 2025 15:20:00 GMT+0000 (Coordinated Universal Time),monday insights,Newsletter from Monday | Educate & Engage 3,"Discover critical workplace insights with monday.com's June 10, 2025 newsletter. Topics cover costly conflict, Italy's citizenship and workforce issues, AI's hidden use at work, and expert tips on aligning cross-functional teams for success."
All about AI tools in Ahrefs + Upcoming features Webinar,webinar-invitation-from-ahrefs-05242025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f4832e7c19bd6fc033a1a,false,false,Fri Aug 15 2025 14:46:10 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 17:00:05 GMT+0000 (Coordinated Universal Time),Sat Feb 07 2026 18:37:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f4832e7c19bd6fc033a15_88e385f7-4f19-4090-a177-60ecb17d4c21.png,Ahrefs email 20,"This email promotes an upcoming webinar about AI tools available in Ahrefs, aimed at educating subscribers on using AI tools across different subscription levels, demonstrating the AI Content Helper feature, and previewing future features. The structure is straightforward, with a clear registration call-to-action, event details like date and time in multiple time zones, and a personal touch from a team member named Constance. The tone is informative and inviting, designed to engage users and encourage webinar sign-up.",,webinar-invitation; content-engagement,ahrefs,educate-engage,Sat May 24 2025 09:33:00 GMT+0000 (Coordinated Universal Time),Constance from Ahrefs,Webinar Invitation from Ahrefs | Educate & Engage 2,"Join Ahrefs' webinar on May 28 to learn about AI tools available at all subscription levels, AI Content Helper walkthrough, and upcoming AI features."
All-in-one calendar,new-features-nudge-from-notion-07172024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689b282bb9c56d5792a45680,false,false,Tue Aug 12 2025 11:40:27 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 17:59:11 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689b282bb9c56d5792a45652_00cd90b1-1dde-433c-b650-995987bdb389.png,Notion email 29,"This email promotes Notion Calendar by highlighting its built-in features that eliminate the need for additional plugins. It uses a straightforward structure featuring visual aids such as GIFs and images to demonstrate key functionalities like auto-blocking busy slots, a built-in scheduling tool, and multi-time zone support. The tone is informative and user-friendly, aiming to simplify calendar management for individuals and teams while encouraging users to engage with the product via a clear call-to-action button.",,new-feature-nudge; usage-expansion; product-education,notion,expand-user,Wed Jul 17 2024 07:03:00 GMT+0000 (Coordinated Universal Time),Notion Team,New Feature(s) Nudge from Notion | Expand User 5,"Notion Calendar offers built-in scheduling, auto-blocking of busy slots, and multi-time zone support without needing add-ons. Streamline your calendar today."
All-new features are coming.,product-update-from-fiverr-07232024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68bb3464b1850454b97a78c7,false,false,Fri Sep 05 2025 19:05:08 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:16:48 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68bb3464b1850454b97a78ba_22b2d953-9578-42c6-ae18-48857e3e7925.png,Fiverr email 36,,"<p id="""">This marketing email from Fiverr announces a new product release designed to help users achieve their goals with freelance talent. The email uses a mix of images, GIFs, and concise text blocks to explain key new features such as Neo smart matching, a skills catalog, and AI-powered briefing assistance.</p><p>‍</p><p id="""">The tone is motivational and professional, emphasizing innovation and practical benefits while including multiple CTAs and social media links for user engagement.</p><p>‍</p>",product-update; new-feature-nudge,fiverr,announce-new-features,Tue Jul 23 2024 15:02:00 GMT+0000 (Coordinated Universal Time),Fiverr,Product Update from Fiverr | Announce New Features,"Discover Fiverr's new product release featuring Neo, smart matching, skills catalog, and AI briefing to turn your goals into achievements with expert freelancers."
Almost done! Confirm your email address,email-verification-from-customerio-07102024,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,689f1106e91975b54f11a717,false,false,Fri Aug 15 2025 10:50:46 GMT+0000 (Coordinated Universal Time),Sun Feb 08 2026 16:10:03 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/689f1106e91975b54f11a6fd_fef256f4-627f-47fb-a247-73a55c5256ad.png,Customer.io email 04,"This is a straightforward email designed to prompt new users to confirm their email address after signing up for Customer.io. It features a clear call-to-action button linking to the confirmation page, supplemented by a direct confirmation link for convenience. The tone is friendly and encouraging, with branding elements like logos and social media icons included in the header and footer for trust and recognition.",,email-verification,customer-io,onboard-free-user,Wed Jul 10 2024 14:26:00 GMT+0000 (Coordinated Universal Time),Customer.io,Email Verification from Customer.io | Onboard Free User 3,Complete your sign-up by confirming your email with Customer.io. Follow the link to activate your account and start using the platform today.
Almost there! Complete your SMS registration today,feature-usage-nudge-from-mailchimp-03062025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68bb3dcd4ab9ece877b19f1f,false,false,Fri Sep 05 2025 19:45:17 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 15:30:11 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68bb3dcc4ab9ece877b19ed7_b9d9e47b-1d12-4879-859b-3dfc2c601205.png,Mailchimp email 34,,"<p id="""">This email from Mailchimp encourages users to complete their registration for SMS Marketing services. It is structured with clear calls to action including completing the registration, accessing compliance resources, and scheduling onboarding assistance. </p><p>‍</p><p>The tone is encouraging and supportive, addressing potential user hesitations and emphasizing available support to facilitate adoption of the SMS marketing channel.</p><p>‍</p>",feature-usage-nudge; usage-expansion,mailchimp,educate-engage,Tue Jun 03 2025 19:19:00 GMT+0000 (Coordinated Universal Time),Mailchimp,Feature Usage Nudge from MailChimp | Educate & Engage 3,Discover the benefits of Mailchimp SMS Marketing. Finish your registration to start sending personalized SMS messages and drive customer engagement effectively.
Always have the greatest tools at your fingertips,new-features-nudge-from-adobe-03042025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,68b17fe1de3668f27882ed4c,false,false,Fri Aug 29 2025 10:24:33 GMT+0000 (Coordinated Universal Time),Thu Dec 25 2025 04:16:46 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 08:07:50 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/68b17fe0de3668f27882ed21_d6cdd046-0519-4462-8108-699388dc8709.png,Adobe email 20,,"<p id="""">This marketing email from Adobe promotes Photoshop and Adobe's All Apps subscription, emphasizing the latest digital editing tools and new features that facilitate creative content production. It contains branded imagery, multiple links for learning more, and a clear call-to-action for exploring Adobe's software offerings. </p><p>‍</p><p id="""">The tone is professional and informative, designed to engage users interested in digital editing and design updates.</p><p>‍</p>",new-feature-nudge; product-education,adobe,announce-new-features,Tue Mar 04 2025 09:28:00 GMT+0000 (Coordinated Universal Time),Adobe Creative Cloud,New Feature(s) Nudge from Adobe | Announce New Features,"Discover Adobe Photoshop's latest digital editing tools and innovations to create stunning content easily, perfect for both work and personal projects."
Another reason to implement SPF/DKIM/DMARC,newsletter-from-hunterio-another-reason-to-implement-spfdkimdmarc-9iyus-04142025,67f1181dbe1df2493a70f0b3,6669acc77ba72bcf56a022dd,686fa928dd3638faf56b43e7,false,false,Thu Jul 10 2025 11:51:04 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 18:00:57 GMT+0000 (Coordinated Universal Time),Mon Feb 09 2026 19:59:13 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/6669acc77ba72bcf56a022e8/686fa928dd3638faf56b43ca_95b46f80-6d08-409d-bbad-cede0654ba8b.png,Hunter email 20,"This email from Hunter Web Services provides a balanced message combining a warning about upcoming Outlook email authentication requirements (SPF, DKIM, DMARC) with actionable advice on setting up these protocols to improve cold email deliverability. It transitions into highlighting the importance of relevance in cold emails, introduces the Value Proposition Canvas as a tool for crafting more relevant messaging, and invites recipients to engage with future monthly insights on email outreach. The structure is informative and educational, using a professional yet approachable tone with visual elements and multiple links for deeper learning, plus clear unsubscribe and contact options.",,newsletter; article; product-education,hunter-io,educate-engage,Mon Apr 14 2025 13:09:00 GMT+0000 (Coordinated Universal Time),Hunter,Newsletter from Hunter.io | Educate & Engage 4,"Hunter's email updates stress the importance of SPF, DKIM, and DMARC setup for better cold email deliverability and using the Value Proposition Canvas for relevance."
